narrator_id,n_segments_total,transcript_word_count,n_candidate_segments,technical_gap_ratio,reflection_sparsity,treatment_observed_flag,adolescent_exposure_flag,total_days_incarcerated,age_at_first_exposure,birth_year,gender,generation,interview_year,observability_tier,how_multimodal_score_mean,how_multimodal_score_max,composure_score_mean,composure_score_max,r_how,p_hat_r_how,ipo_weight,ipo_weight_stabilized
1,46,716,0,0.0,1.0,1,1.0,1312.0,17.333,1925.0,male,Nisei,2003.0,A,0.3267,0.5382,0.3013,0.45,1,0.7957968252608515,1.2566021480070788,0.8942283463303661
10,25,777,0,0.0,1.0,1,1.0,1530.0,12.333,1930.0,male,Nisei,1997.0,A,0.4679,0.72,0.3628,0.72,1,0.8304063599900825,1.204229697869779,0.8569588497328771
100,23,945,0,0.0,1.0,1,0.0,1329.0,23.417,1919.0,female,Nisei,1994.0,A,0.3102,0.4007,0.2087,0.35,1,0.8276124059703581,1.208295082077124,0.8598518750254864
1002,25,150,0,0.0,1.0,1,1.0,1470.0,12.417,1930.0,female,Nisei,2022.0,A,0.5801,0.9213,0.34,0.35,1,0.39427293785354284,2.1751579397572405,1.5478947657071216
1003,21,130,0,0.0,1.0,1,0.0,1312.0,1.333,1941.0,female,Nisei,2022.0,A,0.3833,0.4967,0.35,0.35,0,0.28413969754466345,,
1004,25,165,0,0.0,1.0,1,1.0,1312.0,15.333,1927.0,female,Nisei,2022.0,A,0.4973,0.814,0.32,0.35,1,0.4083477854656086,2.1751579397572405,1.5478947657071216
1005,25,135,0,0.0,1.0,1,1.0,1312.0,11.333,1931.0,female,Nisei,2022.0,A,0.3159,0.4819,0.29,0.35,0,0.3706666656421716,,
1006,23,154,0,0.0,1.0,1,1.0,1036.0,12.25,1931.0,female,Sansei,2022.0,A,0.4444,0.6061,0.2,0.2,1,0.26401952692455466,2.1751579397572405,1.5478947657071216
1007,25,161,0,0.0,1.0,1,1.0,1277.0,11.417,1931.0,male,Sansei,2022.0,A,0.4319,0.5363,0.35,0.35,1,0.40245260347798983,2.1751579397572405,1.5478947657071216
1008,25,171,0,0.0,1.0,1,0.0,1295.0,9.417,1933.0,male,Nisei,2022.0,A,0.4438,0.5915,0.15,0.15,1,0.4864744401784339,2.055606456185468,1.4628190513091501
1010,12,50,0,0.0,1.0,1,0.0,1312.0,5.333,1937.0,female,Sansei,2022.0,C,0.446,0.502,0.4417,0.45,0,0.23550785969052013,,
1013,16,109,0,0.0,1.0,1,0.0,1359.0,1.25,1941.0,female,Sansei,2022.0,A,0.5886,0.7571,0.3938,0.45,0,0.21077357376477854,,
1019,20,120,0,0.0,1.0,1,0.0,300.0,0.083,1945.0,female,Sansei,2023.0,A,0.2537,0.403,0.15,0.15,0,0.1333189836699452,,
102,25,189,0,0.0,1.0,1,0.0,1393.0,21.417,1921.0,female,Nisei,1996.0,A,0.2513,0.35,0.206,0.35,1,0.8018779665866568,1.247072549276652,0.8874468544099388
104,25,635,0,0.0,1.0,1,0.0,1312.0,19.333,1923.0,male,Nisei,1998.0,A,0.5238,0.7014,0.3048,0.62,1,0.8493139564097628,1.1774208965400972,0.8378810611757262
1053,20,105,0,0.0,1.0,1,1.0,1306.0,13.417,1929.0,female,Nisei,2023.0,A,0.5588,0.6973,0.455,0.55,0,0.37561574532387426,,
1054,9,50,0,0.0,1.0,1,0.0,2615.0,22.25,1920.0,female,Nisei,1994.0,C,0.3244,0.507,0.2167,0.25,0,0.8811080483345805,,
1055,7,42,0,0.0,1.0,1,0.0,1314.0,21.333,1921.0,male,Nisei,1994.0,C,0.2832,0.3578,0.2,0.2,0,0.8848968734861905,,
1056,9,52,0,0.0,1.0,1,1.0,1343.0,16.333,1926.0,male,Nisei,1994.0,C,0.3891,0.6174,0.25,0.25,0,0.8641824874769959,,
1057,7,39,0,0.0,1.0,1,0.0,2489.0,20.333,1922.0,male,Nisei,1994.0,C,0.4333,0.4867,0.1429,0.2,0,0.9195321187227042,,
1058,8,52,0,0.0,1.0,1,0.0,1275.0,25.5,1917.0,male,Nisei,1994.0,C,0.2829,0.3521,0.2063,0.25,0,0.8990865597978588,,
1060,7,34,0,0.0,1.0,1,0.0,1295.0,24.417,1918.0,female,Nisei,1994.0,C,0.3908,0.6589,0.1643,0.3,0,0.8314337525717538,,
1062,8,44,0,0.0,1.0,1,0.0,1314.0,25.333,1917.0,male,Nisei,1994.0,C,0.2986,0.3873,0.15,0.25,0,0.9000878210985579,,
1063,7,35,0,0.0,1.0,1,0.0,1312.0,23.333,1919.0,female,Nisei,1994.0,C,0.2493,0.3439,0.2,0.2,0,0.8264663582357137,,
1064,11,52,0,0.0,1.0,1,,2662.0,,,female,Nisei,1994.0,C,0.4948,0.5819,0.4373,0.45,0,0.8610323666379724,,
1065,14,93,0,0.0,1.0,1,0.0,1383.0,26.25,1916.0,male,Nisei,1994.0,C,0.6805,0.9034,0.2607,0.3,0,0.9056601565438256,,
1066,8,46,0,0.0,1.0,1,0.0,1343.0,8.333,1934.0,male,Sansei,1994.0,C,0.3231,0.5476,0.2125,0.25,0,0.7545601620915122,,
1067,9,60,0,0.0,1.0,1,0.0,810.0,27.417,1915.0,male,Kibei,1994.0,C,0.3847,0.4809,0.1722,0.2,0,0.9223188442276931,,
1068,9,54,0,0.0,1.0,1,0.0,1312.0,2.333,1940.0,male,Sansei,1994.0,C,0.2231,0.3206,0.1556,0.2,0,0.7055239209445127,,
1069,9,46,0,0.0,1.0,1,0.0,1277.0,23.417,1919.0,male,Nisei,1994.0,C,0.2356,0.2726,0.2056,0.25,0,0.8915716173585163,,
107,42,402,0,0.0,1.0,1,0.0,2688.0,20.417,1922.0,male,Nisei,1998.0,A,0.4098,0.821,0.3155,0.45,1,0.9073048080101164,1.1021654367656013,0.7843274639188642
1070,17,123,0,0.0,1.0,1,0.0,1062.0,0.083,1943.0,male,Sansei,2023.0,A,0.3865,0.5902,0.2324,0.25,0,0.27030691519254124,,
1071,18,119,0,0.0,1.0,1,0.0,443.0,0.083,1945.0,female,Sansei,2023.0,A,0.4125,0.6227,0.1917,0.2,0,0.13957026651065027,,
1075,17,97,0,0.0,1.0,1,1.0,1269.0,15.5,1927.0,male,Sansei,2023.0,C,0.4197,0.5321,0.2441,0.35,0,0.426638084257255,,
1076,19,95,0,0.0,1.0,1,0.0,1343.0,4.333,1938.0,male,Sansei,2023.0,C,0.3847,0.4502,0.2763,0.3,0,0.33052537308653784,,
1078,19,101,0,0.0,1.0,1,0.0,2538.0,4.417,1938.0,female,Sansei,2023.0,A,0.4245,0.4738,0.35,0.35,0,0.30617288369476797,,
108,42,448,0,0.0,1.0,1,0.0,1312.0,19.333,1923.0,male,Nisei,2001.0,A,0.6329,0.7589,0.3679,0.7,1,0.8258415139857247,1.2108860877842547,0.861695697075683
1082,25,132,0,0.0,1.0,1,0.0,1215.0,8.583,1934.0,male,Sansei,2023.0,A,0.4643,0.7052,0.372,0.45,0,0.3567087728840907,,
1083,25,173,0,0.0,1.0,1,0.0,1018.0,0.083,1943.0,male,,2024.0,A,0.3006,0.5366,0.2,0.2,1,0.3959491139678885,2.1751579397572405,1.5478947657071216
1084,25,139,0,0.0,1.0,1,0.0,1393.0,1.417,1941.0,female,Sansei,2024.0,A,0.4614,0.55,0.458,0.55,0,0.19474609839689444,,
11,25,228,0,0.0,1.0,1,1.0,1312.0,17.333,1925.0,male,Nisei,1997.0,A,0.5565,0.7145,0.3088,0.6,1,0.846292679922755,1.1816243053068527,0.8408723080683147
