narrator_id,n_segments_total,transcript_word_count,n_candidate_segments,technical_gap_ratio,reflection_sparsity,treatment_observed_flag,adolescent_exposure_flag,total_days_incarcerated,age_at_first_exposure,birth_year,gender,generation,interview_year,observability_tier
1,46,716,0,0.0,1.0,1,1.0,1312.0,17.333,1925.0,male,Nisei,2003.0,A
10,25,777,0,0.0,1.0,1,1.0,1530.0,12.333,1930.0,male,Nisei,1997.0,A
100,23,945,0,0.0,1.0,1,0.0,1329.0,23.417,1919.0,female,Nisei,1994.0,A
1002,25,150,0,0.0,1.0,1,1.0,1470.0,12.417,1930.0,female,Nisei,2022.0,A
1003,21,130,0,0.0,1.0,1,0.0,1312.0,1.333,1941.0,female,Nisei,2022.0,A
1004,25,165,0,0.0,1.0,1,1.0,1312.0,15.333,1927.0,female,Nisei,2022.0,A
1005,25,135,0,0.0,1.0,1,1.0,1312.0,11.333,1931.0,female,Nisei,2022.0,A
1006,23,154,0,0.0,1.0,1,1.0,1036.0,12.25,1931.0,female,Sansei,2022.0,A
1007,25,161,0,0.0,1.0,1,1.0,1277.0,11.417,1931.0,male,Sansei,2022.0,A
1008,25,171,0,0.0,1.0,1,0.0,1295.0,9.417,1933.0,male,Nisei,2022.0,A
1010,12,50,0,0.0,1.0,1,0.0,1312.0,5.333,1937.0,female,Sansei,2022.0,C
1013,16,109,0,0.0,1.0,1,0.0,1359.0,1.25,1941.0,female,Sansei,2022.0,A
1019,20,120,0,0.0,1.0,1,0.0,300.0,0.083,1945.0,female,Sansei,2023.0,A
102,25,189,0,0.0,1.0,1,0.0,1393.0,21.417,1921.0,female,Nisei,1996.0,A
104,25,635,0,0.0,1.0,1,0.0,1312.0,19.333,1923.0,male,Nisei,1998.0,A
1053,20,105,0,0.0,1.0,1,1.0,1306.0,13.417,1929.0,female,Nisei,2023.0,A
1054,9,50,0,0.0,1.0,1,0.0,2615.0,22.25,1920.0,female,Nisei,1994.0,C
1055,7,42,0,0.0,1.0,1,0.0,1314.0,21.333,1921.0,male,Nisei,1994.0,C
1056,9,52,0,0.0,1.0,1,1.0,1343.0,16.333,1926.0,male,Nisei,1994.0,C
1057,7,39,0,0.0,1.0,1,0.0,2489.0,20.333,1922.0,male,Nisei,1994.0,C
1058,8,52,0,0.0,1.0,1,0.0,1275.0,25.5,1917.0,male,Nisei,1994.0,C
1060,7,34,0,0.0,1.0,1,0.0,1295.0,24.417,1918.0,female,Nisei,1994.0,C
1062,8,44,0,0.0,1.0,1,0.0,1314.0,25.333,1917.0,male,Nisei,1994.0,C
1063,7,35,0,0.0,1.0,1,0.0,1312.0,23.333,1919.0,female,Nisei,1994.0,C
1064,11,52,0,0.0,1.0,1,,2662.0,,,female,Nisei,1994.0,C
1065,14,93,0,0.0,1.0,1,0.0,1383.0,26.25,1916.0,male,Nisei,1994.0,C
