interview_id,narrator_id,n_segments,score_1d_mean,score_1d_median,score_1d_std,prob_share_inj,prob_share_rup,prob_share_dis,prob_share_entropy,argmax_share_inj,argmax_share_rup,argmax_share_dis,argmax_dominant,minority_max_p_inj,minority_max_p_dis,any_segment_inj_gt40,any_segment_dis_gt40,frac_injury_leaning,frac_rupture_zone,frac_distrust_leaning
ddr-densho-1000-1,1,11,0.47853,0.47592,0.01732,0.33276,0.37742,0.28982,1.0928,0.3636,0.6364,0.0,shame_mediated_identity_rupture,0.38239,0.36008,0,0,0.0,1.0,0.0
ddr-densho-1000-103,104,6,0.48077,0.48327,0.01073,0.33095,0.37656,0.29249,1.0933,0.1667,0.8333,0.0,shame_mediated_identity_rupture,0.37664,0.30814,0,0,0.0,1.0,0.0
ddr-densho-1000-107,108,15,0.47502,0.47367,0.01689,0.31495,0.42008,0.26498,1.0801,0.0667,0.9333,0.0,shame_mediated_identity_rupture,0.3624,0.30685,0,0,0.0,1.0,0.0
ddr-densho-1000-111,111,12,0.47361,0.47284,0.00803,0.31071,0.43135,0.25794,1.0754,0.0,1.0,0.0,shame_mediated_identity_rupture,0.32592,0.27764,0,0,0.0,1.0,0.0
ddr-densho-1000-112,111,13,0.47252,0.47217,0.01022,0.33419,0.38658,0.27923,1.0899,0.0769,0.9231,0.0,shame_mediated_identity_rupture,0.36224,0.30749,0,0,0.0,1.0,0.0
ddr-densho-1000-114,113,13,0.48293,0.48605,0.02036,0.31799,0.39817,0.28384,1.0885,0.0,1.0,0.0,shame_mediated_identity_rupture,0.36234,0.3142,0,0,0.0,1.0,0.0
ddr-densho-1000-116,114,8,0.47867,0.47939,0.01747,0.31776,0.40713,0.27511,1.0852,0.125,0.875,0.0,shame_mediated_identity_rupture,0.4017,0.29671,1,0,0.0,1.0,0.0
ddr-densho-1000-118,116,3,0.47793,0.47147,0.01575,0.32383,0.39648,0.27969,1.0883,0.0,1.0,0.0,shame_mediated_identity_rupture,0.35419,0.28707,0,0,0.0,1.0,0.0
ddr-densho-1000-119,117,10,0.47899,0.47873,0.02117,0.33493,0.37216,0.29291,1.0939,0.1,0.8,0.1,shame_mediated_identity_rupture,0.37228,0.38415,0,0,0.0,1.0,0.0
ddr-densho-1000-12,14,4,0.47906,0.47843,0.00779,0.31804,0.40579,0.27617,1.0857,0.0,1.0,0.0,shame_mediated_identity_rupture,0.34195,0.29497,0,0,0.0,1.0,0.0
ddr-densho-1000-120,118,8,0.47737,0.47418,0.02125,0.32297,0.39931,0.27772,1.0874,0.125,0.875,0.0,shame_mediated_identity_rupture,0.37568,0.33515,0,0,0.0,1.0,0.0
ddr-densho-1000-122,120,4,0.46667,0.46687,0.01045,0.32602,0.41463,0.25935,1.0804,0.0,1.0,0.0,shame_mediated_identity_rupture,0.35666,0.28037,0,0,0.0,1.0,0.0
ddr-densho-1000-123,121,18,0.48302,0.48006,0.01447,0.30571,0.42256,0.27174,1.0804,0.0,1.0,0.0,shame_mediated_identity_rupture,0.34716,0.31739,0,0,0.0,1.0,0.0
ddr-densho-1000-124,121,9,0.51018,0.51255,0.01946,0.29671,0.38621,0.31708,1.0921,0.0,0.8889,0.1111,shame_mediated_identity_rupture,0.3132,0.37761,0,0,0.0,1.0,0.0
ddr-densho-1000-125,121,8,0.51074,0.50747,0.0092,0.29507,0.38838,0.31655,1.0916,0.0,0.875,0.125,shame_mediated_identity_rupture,0.32339,0.35855,0,0,0.0,1.0,0.0
ddr-densho-1000-128,123,21,0.48117,0.47893,0.01507,0.31325,0.41116,0.27559,1.0842,0.0476,0.9048,0.0476,shame_mediated_identity_rupture,0.35983,0.33999,0,0,0.0,1.0,0.0
ddr-densho-1000-129,124,21,0.50547,0.50346,0.016,0.30587,0.37732,0.31681,1.0942,0.0476,0.5714,0.381,shame_mediated_identity_rupture,0.35769,0.3785,0,0,0.0,1.0,0.0
ddr-densho-1000-130,125,19,0.49341,0.49082,0.02269,0.31787,0.37745,0.30469,1.0942,0.0526,0.6842,0.2632,shame_mediated_identity_rupture,0.36635,0.39109,0,0,0.0,1.0,0.0
ddr-densho-1000-131,108,13,0.48627,0.48755,0.01776,0.31453,0.3984,0.28707,1.0887,0.0769,0.9231,0.0,shame_mediated_identity_rupture,0.36759,0.36388,0,0,0.0,1.0,0.0
ddr-densho-1000-132,126,19,0.4842,0.48113,0.01579,0.29362,0.44435,0.26202,1.0712,0.0,1.0,0.0,shame_mediated_identity_rupture,0.33499,0.32187,0,0,0.0,1.0,0.0
ddr-densho-1000-136,130,16,0.48495,0.48341,0.02429,0.30759,0.4149,0.2775,1.0834,0.0,0.875,0.125,shame_mediated_identity_rupture,0.36235,0.38793,0,0,0.0,1.0,0.0
ddr-densho-1000-137,129,11,0.48674,0.47953,0.01965,0.318,0.39053,0.29147,1.0909,0.0,0.9091,0.0909,shame_mediated_identity_rupture,0.3424,0.37451,0,0,0.0,1.0,0.0
ddr-densho-1000-138,131,10,0.47302,0.47118,0.01304,0.31953,0.41489,0.26557,1.0817,0.0,1.0,0.0,shame_mediated_identity_rupture,0.35029,0.28842,0,0,0.0,1.0,0.0
ddr-densho-1000-139,132,16,0.47768,0.48068,0.01081,0.31512,0.41439,0.27048,1.0826,0.0,1.0,0.0,shame_mediated_identity_rupture,0.34914,0.3019,0,0,0.0,1.0,0.0
ddr-densho-1000-140,133,14,0.46618,0.4626,0.0123,0.32144,0.42476,0.2538,1.0765,0.0714,0.9286,0.0,shame_mediated_identity_rupture,0.37848,0.27912,0,0,0.0,1.0,0.0
ddr-densho-1000-142,135,15,0.48187,0.48039,0.01386,0.30221,0.43184,0.26595,1.0765,0.0,1.0,0.0,shame_mediated_identity_rupture,0.34602,0.2976,0,0,0.0,1.0,0.0
ddr-densho-1000-143,136,14,0.47725,0.48082,0.01569,0.30298,0.43955,0.25747,1.0724,0.0,1.0,0.0,shame_mediated_identity_rupture,0.34479,0.29826,0,0,0.0,1.0,0.0
