interview_id,narrator_id,n_segments,authority_stance_mean,authority_stance_std,belonging_stance_mean,belonging_stance_std,authority_stance_min,authority_stance_max,belonging_stance_min,belonging_stance_max,composure_score_mean,composure_score_max,how_multimodal_score_mean,how_multimodal_score_max,n_discomposed_text,share_discomposed_text,share_composed_text,how_text_any_discomposed,n_discomposed,share_discomposed,share_composed,how_any_discomposed,region_label,region_6,outcome_3class
ddr-ajah-1-1,976,11,0.3591,0.0202,0.2545,0.027,0.35,0.4,0.2,0.3,0.2591,0.3,0.5099,0.5795,0,0.0,1.0,0,6,0.5455,0.4545,1,rupture,injury,Injury
ddr-ajah-1-2,977,17,0.4618,0.0219,0.1765,0.0257,0.45,0.5,0.15,0.2,0.4206,0.55,0.4973,0.5967,2,0.1176,0.8824,1,8,0.4706,0.5294,1,rupture,injury,Injury
ddr-ajah-1-5,991,21,0.5833,0.0242,0.3476,0.0109,0.55,0.6,0.3,0.35,0.3024,0.35,0.4309,0.565,0,0.0,1.0,0,5,0.2381,0.7619,1,rupture,politicizing_rupture,Distrust
ddr-ajah-1-6,993,17,0.5382,0.0332,0.3382,0.0219,0.45,0.55,0.3,0.35,0.3441,0.4,0.4249,0.4806,0,0.0,1.0,0,0,0.0,1.0,0,rupture,adaptive_rupture,Rupture
ddr-ajah-1-8,999,16,0.4563,0.0171,0.2094,0.0272,0.45,0.5,0.2,0.3,0.2,0.2,0.4218,0.491,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
ddr-chi-1-11,941,14,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.9679,1.0,0.9679,1.0,14,1.0,0.0,1,14,1.0,0.0,1,rupture,default_rupture,Rupture
ddr-chi-1-12,945,10,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,10,1.0,0.0,1,10,1.0,0.0,1,rupture,default_rupture,Rupture
ddr-chi-1-13,960,12,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.9917,1.0,0.9917,1.0,12,1.0,0.0,1,12,1.0,0.0,1,rupture,default_rupture,Rupture
ddr-chi-1-15,949,19,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.8789,0.95,0.902,0.95,19,1.0,0.0,1,19,1.0,0.0,1,rupture,default_rupture,Rupture
ddr-chi-1-16,956,12,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.9583,1.0,0.9583,1.0,12,1.0,0.0,1,12,1.0,0.0,1,rupture,default_rupture,Rupture
ddr-chi-1-17,942,20,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.9865,1.0,0.9865,1.0,20,1.0,0.0,1,20,1.0,0.0,1,rupture,default_rupture,Rupture
ddr-chi-1-18,943,17,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.9559,1.0,0.9559,1.0,17,1.0,0.0,1,17,1.0,0.0,1,rupture,default_rupture,Rupture
ddr-chi-1-19,959,22,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.9864,1.0,0.9864,1.0,22,1.0,0.0,1,22,1.0,0.0,1,rupture,default_rupture,Rupture
ddr-chi-1-4,958,13,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.9746,1.0,0.9746,1.0,13,1.0,0.0,1,13,1.0,0.0,1,rupture,default_rupture,Rupture
ddr-chi-1-6,950,15,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.9707,1.0,0.9707,1.0,15,1.0,0.0,1,15,1.0,0.0,1,rupture,default_rupture,Rupture
ddr-chi-1-8,955,12,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.9692,1.0,0.9692,1.0,12,1.0,0.0,1,12,1.0,0.0,1,rupture,default_rupture,Rupture
ddr-csujad-31-13,237,1,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1,1.0,0.0,1,1,1.0,0.0,1,rupture,default_rupture,Rupture
ddr-densho-1000-1,1,25,0.6408,0.1699,0.4072,0.1126,0.25,0.9,0.15,0.7,0.3052,0.45,0.3345,0.5382,0,0.0,1.0,0,1,0.04,0.96,1,rupture,politicizing_rupture,Distrust
ddr-densho-1000-10,12,25,0.5148,0.0579,0.4772,0.0474,0.45,0.72,0.35,0.55,0.2988,0.6,0.7162,0.9696,1,0.04,0.96,1,24,0.96,0.04,1,rupture,default_rupture,Rupture
ddr-densho-1000-101,102,25,0.452,0.144,0.33,0.1514,0.15,0.7,0.1,0.5,0.206,0.35,0.2513,0.35,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
ddr-densho-1000-103,104,25,0.5172,0.1046,0.4012,0.1327,0.3,0.9,0.1,0.5,0.3048,0.62,0.5238,0.7014,3,0.12,0.88,1,13,0.52,0.48,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-106,107,18,0.5639,0.104,0.4139,0.1096,0.45,0.85,0.2,0.6,0.2917,0.45,0.4513,0.821,0,0.0,1.0,0,4,0.2222,0.7778,1,rupture,politicizing_rupture,Distrust
ddr-densho-1000-107,108,25,0.482,0.1274,0.41,0.1346,0.2,0.9,0.15,0.55,0.368,0.7,0.6202,0.7589,2,0.08,0.92,1,24,0.96,0.04,1,rupture,injury,Injury
ddr-densho-1000-111,111,25,0.5,0.0,0.468,0.0776,0.5,0.5,0.15,0.55,0.344,0.65,0.3533,0.65,5,0.2,0.8,1,5,0.2,0.8,1,rupture,default_rupture,Rupture
ddr-densho-1000-112,111,25,0.52,0.0968,0.462,0.1003,0.35,0.8,0.2,0.6,0.532,0.8,0.5384,0.8,14,0.56,0.44,1,14,0.56,0.44,1,rupture,default_rupture,Rupture
ddr-densho-1000-114,113,21,0.4452,0.1117,0.3143,0.1582,0.2,0.6,0.1,0.5,0.2452,0.45,0.539,0.8257,0,0.0,1.0,0,14,0.6667,0.3333,1,rupture,injury,Injury
ddr-densho-1000-116,114,13,0.4385,0.1064,0.25,0.1826,0.2,0.55,0.05,0.5,0.2654,0.35,0.3072,0.35,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
ddr-densho-1000-118,116,25,0.502,0.01,0.496,0.0611,0.5,0.55,0.35,0.7,0.49,0.8,0.4958,0.8,10,0.4,0.6,1,10,0.4,0.6,1,rupture,default_rupture,Rupture
ddr-densho-1000-119,117,11,0.6609,0.21,0.3791,0.1866,0.2,0.85,0.1,0.75,0.3164,0.38,0.3472,0.3985,0,0.0,1.0,0,0,0.0,1.0,0,rupture,politicizing_rupture,Distrust
