narrator_id,n_interviews,n_segments_total,score_1d_wmean,prob_share_inj,prob_share_rup,prob_share_dis,prob_share_entropy
1,1,11,0.47853,0.33276,0.37742,0.28982,1.0928
14,1,4,0.47906,0.31804,0.40579,0.27617,1.0857
18,1,6,0.52654,0.31907,0.30878,0.37215,1.0952
104,1,6,0.48077,0.33095,0.37656,0.29249,1.0933
108,2,28,0.48024,0.31476,0.41001,0.27524,1.0845
111,2,25,0.47304,0.32292,0.40807,0.26901,1.084
113,1,13,0.48293,0.31799,0.39817,0.28384,1.0885
114,1,8,0.47867,0.31776,0.40713,0.27511,1.0852
116,1,3,0.47793,0.32383,0.39648,0.27969,1.0883
117,1,10,0.47899,0.33493,0.37216,0.29291,1.0939
118,1,8,0.47737,0.32297,0.39931,0.27772,1.0874
120,1,4,0.46667,0.32602,0.41463,0.25935,1.0804
121,3,35,0.49634,0.30096,0.4054,0.29364,1.0872
123,2,42,0.49134,0.3165,0.38432,0.29918,1.0927
124,1,21,0.50547,0.30587,0.37732,0.31681,1.0942
125,1,19,0.49341,0.31787,0.37745,0.30469,1.0942
126,1,19,0.4842,0.29362,0.44435,0.26202,1.0712
129,1,11,0.48674,0.318,0.39053,0.29147,1.0909
130,1,16,0.48495,0.30759,0.4149,0.2775,1.0834
131,1,10,0.47302,0.31953,0.41489,0.26557,1.0817
132,1,16,0.47768,0.31512,0.41439,0.27048,1.0826
133,1,14,0.46618,0.32144,0.42476,0.2538,1.0765
135,1,15,0.48187,0.30221,0.43184,0.26595,1.0765
136,1,14,0.47725,0.30298,0.43955,0.25747,1.0724
139,1,17,0.47647,0.3149,0.41726,0.26784,1.0814
147,1,18,0.47138,0.31984,0.41756,0.2626,1.0804
149,1,14,0.46785,0.32323,0.41785,0.25892,1.0795
150,1,18,0.46672,0.32468,0.41719,0.25813,1.0795
151,1,11,0.47141,0.32096,0.41525,0.26379,1.0812
170,1,20,0.47989,0.32125,0.39773,0.28102,1.0882
174,2,36,0.48788,0.30946,0.4053,0.28524,1.0868
