narrator_id,n_interviews,n_segments,authority_stance,belonging_stance,composure_score_mean,n_discomposed_text,how_text_any_discomposed,region_label,region_6,outcome_3class
1,2,40,0.6147,0.3828,0.3013,0,0,rupture,adaptive_rupture,Injury
2,1,25,0.5348,0.4008,0.3032,1,1,rupture,adaptive_rupture,Injury
8,2,29,0.4559,0.3045,0.2162,0,0,rupture,injury,Injury
9,1,25,0.516,0.498,0.3948,7,1,rupture,default_rupture,Rupture
10,1,25,0.526,0.41,0.3628,2,1,rupture,adaptive_rupture,Injury
11,1,25,0.5612,0.3632,0.3088,1,1,rupture,adaptive_rupture,Injury
12,1,25,0.5148,0.4772,0.2988,1,1,rupture,default_rupture,Rupture
14,1,25,0.502,0.444,0.194,0,0,rupture,adaptive_rupture,Injury
16,2,45,0.4856,0.37,0.4293,9,1,rupture,injury,Injury
17,1,25,0.496,0.43,0.278,0,0,rupture,injury,Injury
18,3,52,0.5379,0.3429,0.2248,0,0,rupture,adaptive_rupture,Injury
21,1,25,0.512,0.426,0.266,1,1,rupture,adaptive_rupture,Injury
23,1,72,0.5208,0.4563,0.3,7,1,rupture,default_rupture,Rupture
26,1,25,0.52,0.496,0.5,12,1,rupture,default_rupture,Rupture
27,1,48,0.5021,0.4969,0.3646,10,1,rupture,default_rupture,Rupture
30,1,17,0.4529,0.3618,0.2706,0,0,rupture,injury,Injury
31,1,25,0.52,0.406,0.228,0,0,rupture,adaptive_rupture,Injury
34,1,13,0.45,0.2769,0.2731,0,0,rupture,injury,Injury
35,2,44,0.5057,0.3455,0.2673,0,0,rupture,adaptive_rupture,Injury
38,1,22,0.5045,0.4864,0.5364,13,1,rupture,default_rupture,Rupture
41,1,24,0.4333,0.2583,0.2625,0,0,rupture,injury,Injury
42,2,50,0.5146,0.4042,0.3236,3,1,rupture,adaptive_rupture,Injury
43,1,14,0.6536,0.4786,0.3107,1,1,rupture,distrust,Distrust
44,1,20,0.58,0.425,0.2375,0,0,rupture,adaptive_rupture,Injury
48,2,50,0.4886,0.3644,0.2654,1,1,rupture,injury,Injury
50,2,33,0.5833,0.2303,0.197,0,0,rupture,adaptive_rupture,Injury
51,1,24,0.5292,0.3604,0.4154,6,1,rupture,adaptive_rupture,Injury
52,1,24,0.5062,0.4333,0.2729,1,1,rupture,adaptive_rupture,Injury
55,1,25,0.5028,0.4272,0.3028,0,0,rupture,adaptive_rupture,Injury
56,1,25,0.526,0.478,0.514,13,1,rupture,default_rupture,Rupture
57,1,25,0.5408,0.4832,0.4012,5,1,rupture,default_rupture,Rupture
58,5,107,0.5233,0.4206,0.2448,2,1,rupture,adaptive_rupture,Injury
59,6,131,0.5301,0.3492,0.2542,0,0,rupture,adaptive_rupture,Injury
60,4,62,0.4984,0.4177,0.3503,6,1,rupture,injury,Injury
61,1,50,0.492,0.423,0.575,36,1,rupture,injury,Injury
63,1,25,0.51,0.464,0.374,8,1,rupture,default_rupture,Rupture
64,1,18,0.4928,0.3156,0.1983,0,0,rupture,injury,Injury
65,1,25,0.524,0.462,0.318,0,0,rupture,default_rupture,Rupture
66,1,8,0.6375,0.3188,0.2625,0,0,rupture,adaptive_rupture,Injury
67,1,32,0.4828,0.4062,0.2172,1,1,rupture,injury,Injury
71,1,50,0.535,0.433,0.256,2,1,rupture,adaptive_rupture,Injury
72,1,23,0.45,0.337,0.2413,0,0,rupture,injury,Injury
74,1,25,0.508,0.444,0.24,0,0,rupture,adaptive_rupture,Injury
75,1,25,0.4948,0.4328,0.5152,14,1,rupture,injury,Injury
76,1,25,0.488,0.434,0.306,1,1,rupture,injury,Injury
77,1,17,0.4824,0.4059,0.25,0,0,rupture,injury,Injury
78,1,25,0.472,0.338,0.276,0,0,rupture,injury,Injury
79,2,100,0.4995,0.439,0.222,3,1,rupture,injury,Injury
81,1,25,0.524,0.476,0.26,1,1,rupture,default_rupture,Rupture
82,2,41,0.6261,0.43,0.3056,2,1,rupture,adaptive_rupture,Injury
83,1,18,0.4444,0.3583,0.275,0,0,rupture,injury,Injury
84,1,25,0.5736,0.44,0.3556,3,1,rupture,adaptive_rupture,Injury
87,2,50,0.5138,0.4082,0.2822,2,1,rupture,adaptive_rupture,Injury
88,1,25,0.524,0.478,0.382,4,1,rupture,default_rupture,Rupture
89,1,24,0.4821,0.4304,0.2362,0,0,rupture,injury,Injury
90,1,20,0.4925,0.385,0.17,0,0,rupture,injury,Injury
92,2,35,0.6306,0.3237,0.3166,2,1,rupture,adaptive_rupture,Injury
93,1,14,0.4679,0.3786,0.2357,1,1,rupture,injury,Injury
94,3,57,0.4983,0.4763,0.2483,2,1,rupture,injury_disrupted,Injury
100,2,23,0.3783,0.1826,0.2087,0,0,rupture,injury,Injury
102,1,25,0.452,0.33,0.206,0,0,rupture,injury,Injury
104,1,25,0.5172,0.4012,0.3048,3,1,rupture,adaptive_rupture,Injury
107,2,42,0.5584,0.3548,0.3155,0,0,rupture,adaptive_rupture,Injury
108,2,42,0.5119,0.4036,0.3678,4,1,rupture,adaptive_rupture,Injury
111,2,50,0.51,0.465,0.438,19,1,rupture,default_rupture,Rupture
113,1,21,0.4452,0.3143,0.2452,0,0,rupture,injury,Injury
114,1,13,0.4385,0.25,0.2654,0,0,rupture,injury,Injury
116,1,25,0.502,0.496,0.49,10,1,rupture,default_rupture,Rupture
117,1,11,0.6609,0.3791,0.3164,0,0,rupture,politicizing_rupture,Distrust
118,1,10,0.465,0.385,0.22,0,0,rupture,injury,Injury
120,1,17,0.4941,0.4618,0.3441,3,1,rupture,injury_disrupted,Injury
121,3,48,0.5052,0.3156,0.2344,0,0,rupture,adaptive_rupture,Injury
123,2,47,0.4426,0.1926,0.183,0,0,rupture,injury,Injury
124,1,25,0.4988,0.2072,0.1812,0,0,rupture,injury,Injury
125,2,32,0.4316,0.2107,0.3046,0,0,rupture,injury,Injury
126,1,25,0.5148,0.4752,0.3252,1,1,rupture,default_rupture,Rupture
129,2,100,0.5137,0.4682,0.5241,59,1,rupture,default_rupture,Rupture
130,1,21,0.5405,0.3167,0.3405,0,0,rupture,adaptive_rupture,Injury
131,1,25,0.5228,0.4252,0.3552,2,1,rupture,adaptive_rupture,Injury
132,1,24,0.4937,0.4354,0.3375,0,0,rupture,injury,Injury
133,1,22,0.4977,0.4114,0.3045,2,1,rupture,injury,Injury
135,1,24,0.5104,0.4604,0.2396,0,0,rupture,default_rupture,Rupture
136,1,25,0.5148,0.4328,0.356,3,1,rupture,adaptive_rupture,Injury
139,2,41,0.5181,0.4563,0.3356,1,1,rupture,default_rupture,Rupture
140,2,32,0.5672,0.4094,0.2406,0,0,rupture,adaptive_rupture,Injury
141,1,25,0.6952,0.4608,0.3848,3,1,rupture,distrust,Distrust
142,1,20,0.5835,0.241,0.2615,0,0,rupture,adaptive_rupture,Injury
143,1,17,0.4835,0.3812,0.3159,0,0,rupture,injury,Injury
147,1,24,0.5383,0.4138,0.3325,1,1,rupture,adaptive_rupture,Injury
149,1,23,0.5174,0.5043,0.3087,0,0,rupture,default_rupture,Rupture
150,1,23,0.5335,0.4422,0.3622,1,1,rupture,adaptive_rupture,Injury
151,3,57,0.5254,0.342,0.5204,31,1,rupture,adaptive_rupture,Injury
170,2,51,0.4912,0.4402,0.3529,9,1,rupture,injury,Injury
174,3,66,0.4917,0.4,0.453,22,1,rupture,injury,Injury
178,1,25,0.502,0.35,0.292,1,1,rupture,adaptive_rupture,Injury
179,1,20,0.4425,0.355,0.2375,0,0,rupture,injury,Injury
180,1,13,0.6231,0.3731,0.3577,0,0,rupture,adaptive_rupture,Injury
181,1,24,0.4688,0.3125,0.2479,0,0,rupture,injury,Injury
184,1,25,0.498,0.472,0.226,1,1,rupture,injury_disrupted,Injury
185,1,23,0.5343,0.4196,0.2652,0,0,rupture,adaptive_rupture,Injury
186,1,22,0.5159,0.4636,0.2705,0,0,rupture,default_rupture,Rupture
187,1,16,0.5062,0.4625,0.1719,0,0,rupture,default_rupture,Rupture
188,1,23,0.5065,0.4587,0.3739,4,1,rupture,default_rupture,Rupture
189,1,24,0.5488,0.4158,0.32,0,0,rupture,adaptive_rupture,Injury
