narrator_id,n_interviews,n_segments,authority_stance,belonging_stance,composure_score_mean,composure_score_max,how_multimodal_score_mean,how_multimodal_score_max,n_discomposed_text,share_discomposed_text,share_composed_text,how_text_any_discomposed,n_discomposed,share_discomposed,share_composed,how_any_discomposed,region_label,region_6,outcome_3class
1,2,40,0.6148,0.3827,0.3013,0.45,0.3267,0.5382,0,0.0,1.0,0,1,0.025,0.975,1,rupture,politicizing_rupture,Distrust
2,1,25,0.5348,0.4008,0.3032,0.55,0.3614,0.55,1,0.04,0.96,1,1,0.04,0.96,1,rupture,adaptive_rupture,Rupture
8,2,29,0.4559,0.3045,0.2162,0.45,0.6341,0.9406,0,0.0,1.0,0,24,0.8276,0.1724,1,rupture,injury,Injury
9,1,25,0.516,0.498,0.3948,0.9,0.7021,1.0,7,0.28,0.72,1,24,0.96,0.04,1,rupture,default_rupture,Rupture
10,1,25,0.526,0.41,0.3628,0.72,0.4679,0.72,2,0.08,0.92,1,6,0.24,0.76,1,rupture,adaptive_rupture,Rupture
11,1,25,0.5612,0.3632,0.3088,0.6,0.5565,0.7145,1,0.04,0.96,1,21,0.84,0.16,1,rupture,politicizing_rupture,Distrust
12,1,25,0.5148,0.4772,0.2988,0.6,0.7162,0.9696,1,0.04,0.96,1,24,0.96,0.04,1,rupture,default_rupture,Rupture
14,1,25,0.502,0.444,0.194,0.35,0.2416,0.6184,0,0.0,1.0,0,1,0.04,0.96,1,rupture,default_rupture,Rupture
16,2,45,0.4856,0.37,0.4293,0.75,0.4552,0.9565,9,0.2,0.8,1,10,0.2222,0.7778,1,rupture,injury,Injury
17,1,25,0.496,0.43,0.278,0.45,0.3644,0.5935,0,0.0,1.0,0,3,0.12,0.88,1,rupture,injury_disrupted,Injury
18,3,52,0.5379,0.3429,0.2248,0.35,0.4403,0.5731,0,0.0,1.0,0,4,0.0769,0.9231,1,rupture,adaptive_rupture,Rupture
21,1,25,0.512,0.426,0.266,0.6,0.4729,0.628,1,0.04,0.96,1,9,0.36,0.64,1,rupture,adaptive_rupture,Rupture
23,1,24,0.5187,0.4583,0.2917,0.85,0.663,0.9966,1,0.0417,0.9583,1,18,0.75,0.25,1,rupture,default_rupture,Rupture
26,1,25,0.52,0.496,0.5,0.75,0.5043,0.75,12,0.48,0.52,1,12,0.48,0.52,1,rupture,default_rupture,Rupture
27,1,24,0.5021,0.4979,0.3625,0.8,0.5965,0.8712,5,0.2083,0.7917,1,17,0.7083,0.2917,1,rupture,default_rupture,Rupture
30,1,17,0.4529,0.3618,0.2706,0.45,0.4005,0.4866,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
31,1,25,0.52,0.406,0.228,0.35,0.6853,0.8749,0,0.0,1.0,0,22,0.88,0.12,1,rupture,adaptive_rupture,Rupture
34,1,13,0.45,0.2769,0.2731,0.35,0.5882,0.891,0,0.0,1.0,0,11,0.8462,0.1538,1,rupture,injury,Injury
35,2,44,0.5057,0.3455,0.2673,0.45,0.5206,0.9981,0,0.0,1.0,0,21,0.4773,0.5227,1,rupture,adaptive_rupture,Rupture
38,1,22,0.5045,0.4864,0.5364,0.8,0.8722,0.9989,13,0.5909,0.4091,1,22,1.0,0.0,1,rupture,default_rupture,Rupture
41,1,24,0.4333,0.2583,0.2625,0.4,0.4119,0.9942,0,0.0,1.0,0,3,0.125,0.875,1,rupture,injury,Injury
42,2,50,0.5146,0.4042,0.3236,0.72,0.5188,0.8433,3,0.06,0.94,1,25,0.5,0.5,1,rupture,adaptive_rupture,Rupture
43,1,14,0.6536,0.4786,0.3107,0.55,0.4594,0.6441,1,0.0714,0.9286,1,4,0.2857,0.7143,1,rupture,distrust,Distrust
44,1,20,0.58,0.425,0.2375,0.35,0.3414,0.6404,0,0.0,1.0,0,1,0.05,0.95,1,rupture,politicizing_rupture,Distrust
48,2,50,0.4886,0.3644,0.2654,0.55,0.4834,0.6517,1,0.02,0.98,1,23,0.46,0.54,1,rupture,injury,Injury
50,2,33,0.5833,0.2303,0.197,0.45,0.3949,0.5785,0,0.0,1.0,0,2,0.0606,0.9394,1,rupture,politicizing_rupture,Distrust
51,1,24,0.5292,0.3604,0.4154,0.8,0.419,0.8,6,0.25,0.75,1,6,0.25,0.75,1,rupture,adaptive_rupture,Rupture
52,1,24,0.5062,0.4333,0.2729,0.55,0.3967,0.55,1,0.0417,0.9583,1,1,0.0417,0.9583,1,rupture,default_rupture,Rupture
55,1,25,0.5028,0.4272,0.3028,0.45,0.4854,0.5678,0,0.0,1.0,0,8,0.32,0.68,1,rupture,adaptive_rupture,Rupture
56,1,25,0.526,0.478,0.514,0.7,0.6287,0.7251,13,0.52,0.48,1,24,0.96,0.04,1,rupture,default_rupture,Rupture
57,1,25,0.5408,0.4832,0.4012,0.7,0.4052,0.7,5,0.2,0.8,1,5,0.2,0.8,1,rupture,distrust,Distrust
58,5,107,0.5233,0.4207,0.2448,0.6,0.3408,0.7581,2,0.0187,0.9813,1,6,0.0561,0.9439,1,rupture,adaptive_rupture,Rupture
59,6,131,0.5302,0.3492,0.2542,0.45,0.5211,0.9917,0,0.0,1.0,0,71,0.542,0.458,1,rupture,adaptive_rupture,Rupture
60,4,62,0.4984,0.4177,0.3503,0.72,0.5421,0.9103,6,0.0968,0.9032,1,42,0.6774,0.3226,1,rupture,injury,Injury
61,1,25,0.49,0.424,0.568,0.8,0.6064,0.8123,18,0.72,0.28,1,21,0.84,0.16,1,rupture,injury,Injury
63,1,25,0.51,0.464,0.374,0.7,0.4695,0.7,8,0.32,0.68,1,10,0.4,0.6,1,rupture,default_rupture,Rupture
64,1,18,0.4928,0.3156,0.1983,0.35,0.3101,0.4122,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
65,1,25,0.524,0.462,0.318,0.45,0.3475,0.4988,0,0.0,1.0,0,0,0.0,1.0,0,rupture,default_rupture,Rupture
66,1,8,0.6375,0.3188,0.2625,0.35,0.3909,0.5234,0,0.0,1.0,0,1,0.125,0.875,1,rupture,politicizing_rupture,Distrust
67,1,16,0.4875,0.4062,0.2063,0.3,0.418,0.7193,0,0.0,1.0,0,4,0.25,0.75,1,rupture,injury,Injury
71,1,25,0.534,0.43,0.254,0.55,0.5166,0.8529,1,0.04,0.96,1,12,0.48,0.52,1,rupture,default_rupture,Rupture
72,2,48,0.4948,0.3885,0.25,0.55,0.6537,0.8937,1,0.0208,0.9792,1,35,0.7292,0.2708,1,rupture,injury,Injury
74,1,25,0.508,0.444,0.24,0.45,0.4305,0.7062,0,0.0,1.0,0,6,0.24,0.76,1,rupture,default_rupture,Rupture
75,1,25,0.4948,0.4328,0.5152,0.8,0.5706,0.9583,14,0.56,0.44,1,19,0.76,0.24,1,rupture,injury_disrupted,Injury
76,1,25,0.488,0.434,0.306,0.7,0.4124,0.7948,1,0.04,0.96,1,5,0.2,0.8,1,rupture,injury_disrupted,Injury
77,1,17,0.4824,0.4059,0.25,0.35,0.4074,0.9876,0,0.0,1.0,0,1,0.0588,0.9412,1,rupture,injury,Injury
78,1,25,0.472,0.338,0.276,0.45,0.3968,0.4635,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
79,2,50,0.5,0.445,0.221,0.65,0.4967,0.7787,1,0.02,0.98,1,22,0.44,0.56,1,rupture,default_rupture,Rupture
81,1,25,0.524,0.476,0.26,0.55,0.3533,0.55,1,0.04,0.96,1,2,0.08,0.92,1,rupture,default_rupture,Rupture
82,2,41,0.6261,0.43,0.3056,0.85,0.6014,0.9316,2,0.0488,0.9512,1,31,0.7561,0.2439,1,rupture,distrust,Distrust
83,1,18,0.4444,0.3583,0.275,0.35,0.3936,0.503,0,0.0,1.0,0,1,0.0556,0.9444,1,rupture,injury,Injury
84,1,25,0.5736,0.44,0.3556,0.62,0.3647,0.62,3,0.12,0.88,1,3,0.12,0.88,1,rupture,distrust,Distrust
87,2,50,0.5138,0.4082,0.2822,0.8,0.3675,0.8,2,0.04,0.96,1,2,0.04,0.96,1,rupture,adaptive_rupture,Rupture
88,1,25,0.524,0.478,0.382,0.7,0.4699,0.7,4,0.16,0.84,1,6,0.24,0.76,1,rupture,default_rupture,Rupture
89,1,24,0.4821,0.4304,0.2362,0.4,0.7277,0.9125,0,0.0,1.0,0,23,0.9583,0.0417,1,rupture,injury_disrupted,Injury
90,1,20,0.4925,0.385,0.17,0.35,0.4946,0.8303,0,0.0,1.0,0,8,0.4,0.6,1,rupture,injury,Injury
92,2,35,0.6306,0.3237,0.3166,0.55,0.5073,0.5878,2,0.0571,0.9429,1,19,0.5429,0.4571,1,rupture,politicizing_rupture,Distrust
93,1,14,0.4679,0.3786,0.2357,0.55,0.7039,0.8385,1,0.0714,0.9286,1,14,1.0,0.0,1,rupture,injury,Injury
94,3,57,0.4982,0.4763,0.2482,0.7,0.4862,0.9662,2,0.0351,0.9649,1,27,0.4737,0.5263,1,rupture,injury_disrupted,Injury
100,2,23,0.3783,0.1826,0.2087,0.35,0.3102,0.4007,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
102,1,25,0.452,0.33,0.206,0.35,0.2513,0.35,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
104,1,25,0.5172,0.4012,0.3048,0.62,0.5238,0.7014,3,0.12,0.88,1,13,0.52,0.48,1,rupture,adaptive_rupture,Rupture
107,2,42,0.5583,0.3548,0.3155,0.45,0.4098,0.821,0,0.0,1.0,0,4,0.0952,0.9048,1,rupture,politicizing_rupture,Distrust
108,2,42,0.5119,0.4036,0.3679,0.7,0.6329,0.7589,4,0.0952,0.9048,1,41,0.9762,0.0238,1,rupture,adaptive_rupture,Rupture
111,2,50,0.51,0.465,0.438,0.8,0.4458,0.8,19,0.38,0.62,1,19,0.38,0.62,1,rupture,default_rupture,Rupture
113,1,21,0.4452,0.3143,0.2452,0.45,0.539,0.8257,0,0.0,1.0,0,14,0.6667,0.3333,1,rupture,injury,Injury
114,1,13,0.4385,0.25,0.2654,0.35,0.3072,0.35,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
116,1,25,0.502,0.496,0.49,0.8,0.4958,0.8,10,0.4,0.6,1,10,0.4,0.6,1,rupture,default_rupture,Rupture
117,1,11,0.6609,0.3791,0.3164,0.38,0.3472,0.3985,0,0.0,1.0,0,0,0.0,1.0,0,rupture,politicizing_rupture,Distrust
118,1,10,0.465,0.385,0.22,0.35,0.6333,0.8443,0,0.0,1.0,0,8,0.8,0.2,1,rupture,injury,Injury
120,1,17,0.4941,0.4618,0.3441,0.65,0.4019,0.65,3,0.1765,0.8235,1,3,0.1765,0.8235,1,rupture,injury_disrupted,Injury
121,3,48,0.5052,0.3156,0.2344,0.4,0.3218,0.8318,0,0.0,1.0,0,2,0.0417,0.9583,1,rupture,adaptive_rupture,Rupture
123,2,47,0.4426,0.1926,0.183,0.35,0.272,0.3684,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
124,1,25,0.4988,0.2072,0.1812,0.3,0.2369,0.351,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
125,2,32,0.4316,0.2106,0.3047,0.38,0.3349,0.4097,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
126,1,25,0.5148,0.4752,0.3252,0.55,0.5991,0.7894,1,0.04,0.96,1,24,0.96,0.04,1,rupture,default_rupture,Rupture
129,2,50,0.5214,0.4534,0.473,0.72,0.607,0.9637,21,0.42,0.58,1,27,0.54,0.46,1,rupture,default_rupture,Rupture
130,2,46,0.5217,0.4054,0.4678,0.75,0.6431,0.9637,19,0.413,0.587,1,28,0.6087,0.3913,1,rupture,adaptive_rupture,Rupture
