track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.015679504872884005,0.01774179246989851,-0.019093769389301005,0.050452779135069015,0.3768252246632525,-0.13224531556510688,0.995908135794145,0.15324540822843882,0.0029406301662792123,3362.755842718917,0.8869729811452898,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-8.147722593650173e-06,9.668611480263626e-06,-2.709785287547738e-05,1.0802407688177033e-05,0.39939719034027665,-0.13224531556510688,-0.21716826213803175,0.15324540822843882,0.0029406301662792123,3362.755842718917,0.8869729811452898,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.0038321054926864556,0.029729632442973438,-0.06210111435452794,0.05443690336915503,0.8974379512124105,-0.13224531556510688,-0.3190036489707968,0.15324540822843882,0.0029406301662792123,3362.755842718917,0.9813174645123343,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,timing_dummy,Adolescent timing contrast,H1,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,adolescent_exposure_flag,0.05769509387739531,0.11984184413907205,-0.17719060447604845,0.2925807922308391,0.6302130843001673,-0.13224531556510688,0.9904288049220813,0.9904288049220813,0.0002111394083196272,20.816097403322196,0.9760885314688309,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,amplification,Timing amplification interactions,H4,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,adolescent_exposure_flag,-0.01955040707751834,0.11925566658831596,-0.2532872185429343,0.2141864043878976,0.8697807996412614,-0.13224531556510688,0.9904288049220813,0.21253483747776003,0.010142545195038322,16916.72853264391,0.9813174645123343,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,amplification,Timing amplification interactions,H4,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-3.25289836398777e-05,1.3748636755985253e-05,-5.94758165181324e-05,-5.582150761622999e-06,0.01798247217333675,-0.13224531556510688,-0.21716826213803175,0.21253483747776003,0.010142545195038322,16916.72853264391,0.1892309379471129,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,amplification,Timing amplification interactions,H4,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.004617089570807298,0.041754971259726985,-0.07722115027376264,0.08645532941537723,0.9119527344092359,-0.13224531556510688,-0.3190036489707968,0.21253483747776003,0.010142545195038322,16916.72853264391,0.9813174645123343,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,amplification,Timing amplification interactions,H4,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,adolescent_x_dosage_v1,5.397566496564091e-05,1.9382989760355765e-05,1.598570312263496e-05,9.196562680864686e-05,0.005357851786207286,-0.13224531556510688,0.690559686411093,0.21253483747776003,0.010142545195038322,16916.72853264391,0.09842581867857067,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,amplification,Timing amplification interactions,H4,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,adolescent_x_severity_v1,-0.03826550351800576,0.06360929125420332,-0.16293742345836293,0.08640641642235139,0.5474597524999856,-0.13224531556510688,-0.08214239283554559,0.21253483747776003,0.010142545195038322,16916.72853264391,0.948508762670043,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,expressive_environment,Interview-year moderation,H5,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,h5_no_interview_year_controls,interview_year;age_at_interview,28,adolescent_exposure_flag,0.14508235626923138,0.17179220856229332,-0.191624185337457,0.4817888978759198,0.39837759062651845,-0.26650294388751394,0.9922043607387165,0.2764585705093821,0.007292230146118794,168.80700358644745,0.8869729811452898,1.0,0,0
