track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,3,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.006142432784171777,0.00770036462082683,-0.008950004540475242,0.021234870108818794,0.42505576565959813,-0.34414341084799793,0.9949786770640748,0.15276322088485902,0.02405243164352011,3491.3004552091893,0.5738252836404575,1.0,0,0
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,3,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,2.359340754190024e-06,3.4494514855500194e-06,-4.4014599239062004e-06,9.12014143228625e-06,0.4939905544035943,-0.34414341084799793,-0.2510068880497811,0.15276322088485902,0.02405243164352011,3491.3004552091893,0.6351307128046212,1.0,0,0
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,3,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.035375769136880925,0.01234794814564731,0.011174235488444054,0.059577302785317796,0.004171268151427922,-0.34414341084799793,-0.2856821263597167,0.15276322088485902,0.02405243164352011,3491.3004552091893,0.05631212004427695,0.10845297193712597,0,0
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,3,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.013152267376389738,0.007314071552288441,-0.0011830494464445725,0.02748758419922405,0.0721430690383446,0.07817960955349157,0.9949786770640748,0.15276322088485902,0.023583052357763146,3491.3004552091893,0.2782661234336149,1.0,0,0
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,3,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,4.0413923355715285e-06,4.401864923892977e-06,-4.586104380068852e-06,1.266888905121191e-05,0.35856174022546006,0.07817960955349157,-0.2510068880497811,0.15276322088485902,0.023583052357763146,3491.3004552091893,0.5127668512156542,1.0,0,0
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,3,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.03654559971293214,0.014107531668474014,0.008895345731964818,0.06419585369389946,0.009583585329139768,0.07817960955349157,-0.2856821263597167,0.15276322088485902,0.023583052357763146,3491.3004552091893,0.0687945010382332,0.2395896332284942,0,0
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,unweighted,,633,3,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.011756482173107177,0.012413854538266674,-0.012574225631214606,0.03608718997742896,0.3436157134202009,-0.15360436855390747,0.9949786770640748,0.15276322088485902,0.005256682478788854,3491.3004552091893,0.5127668512156542,1.0,0,0
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,unweighted,,633,3,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-1.247821997651779e-05,1.0042672094062802e-05,-3.216149558942633e-05,7.205055636390748e-06,0.2140448010284406,-0.15360436855390747,-0.2510068880497811,0.15276322088485902,0.005256682478788854,3491.3004552091893,0.45463853726494313,1.0,0,0
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,unweighted,,633,3,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.040304513693771436,0.02943789270227372,-0.017392695783439542,0.09800172317098241,0.17095639510220895,-0.15360436855390747,-0.2856821263597167,0.15276322088485902,0.005256682478788854,3491.3004552091893,0.4196202425236038,1.0,0,0
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,3,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.006603383168687031,0.013360800686088404,-0.019583304980664285,0.03279007131803835,0.6211398097983376,-0.3134461825816064,0.9970668916637312,0.15811227792677854,0.03532921737274641,3510.32076088509,0.6831534282556241,1.0,0,0
