track,sample,outcome,spec_id,spec_label,weight_status,weight_column,sample_n,folds,nuisance_learner,x_block_id,x_exclude_columns,x_feature_count,outcome_oof_r2,mean_treatment_oof_r2,min_treatment_oof_r2,max_treatment_oof_r2,final_model_r2,condition_number,status,error_message
track1_per_cell,main,share_joint_Injury_composed,timing_total,Timing total effect,unweighted,,633,5,lightgbm_regressor,primary,,30,-0.13224531556510688,0.995908135794145,0.995908135794145,0.995908135794145,0.0019093668618768156,2.036793294754289,estimated,
track1_per_cell,main,share_joint_Injury_discomposed,timing_total,Timing total effect,unweighted,,633,5,lightgbm_regressor,primary,,30,-0.3100013410058182,0.995908135794145,0.995908135794145,0.995908135794145,0.006581473302218033,2.036793294754289,estimated,
track1_per_cell,main,share_joint_Rupture_composed,timing_total,Timing total effect,unweighted,,633,5,lightgbm_regressor,primary,,30,-0.1604087221023438,0.995908135794145,0.995908135794145,0.995908135794145,0.00016483267030242832,2.036793294754289,estimated,
track1_per_cell,main,share_joint_Rupture_discomposed,timing_total,Timing total effect,unweighted,,633,5,lightgbm_regressor,primary,,30,-0.08123211168250277,0.995908135794145,0.995908135794145,0.995908135794145,0.006347604749831759,2.036793294754289,estimated,
track1_per_cell,main,share_joint_Distrust_composed,timing_total,Timing total effect,unweighted,,633,5,lightgbm_regressor,primary,,30,-0.23864518475795138,0.995908135794145,0.995908135794145,0.995908135794145,0.00014172530089195945,2.036793294754289,estimated,
track1_per_cell,main,share_joint_Distrust_discomposed,timing_total,Timing total effect,unweighted,,633,5,lightgbm_regressor,primary,,30,-0.2652578585550136,0.995908135794145,0.995908135794145,0.995908135794145,0.0001216414095221996,2.036793294754289,estimated,
track1_per_cell,main,share_joint_Injury_composed,timing_total,Timing total effect,ipw,ipw_weight_v1,632,5,lightgbm_regressor,primary,,30,-0.15955157440286638,0.9956737825344937,0.9956737825344937,0.9956737825344937,0.00016767474091583523,2.20568289769208,estimated,
track1_per_cell,main,share_joint_Injury_discomposed,timing_total,Timing total effect,ipw,ipw_weight_v1,632,5,lightgbm_regressor,primary,,30,-0.3868727219863879,0.9956737825344937,0.9956737825344937,0.9956737825344937,0.0011611468519122647,2.20568289769208,estimated,
track1_per_cell,main,share_joint_Rupture_composed,timing_total,Timing total effect,ipw,ipw_weight_v1,632,5,lightgbm_regressor,primary,,30,-0.26750397122404235,0.9956737825344937,0.9956737825344937,0.9956737825344937,0.009922744144079898,2.20568289769208,estimated,
track1_per_cell,main,share_joint_Rupture_discomposed,timing_total,Timing total effect,ipw,ipw_weight_v1,632,5,lightgbm_regressor,primary,,30,-0.08226076583188657,0.9956737825344937,0.9956737825344937,0.9956737825344937,0.012735376500854656,2.20568289769208,estimated,
track1_per_cell,main,share_joint_Distrust_composed,timing_total,Timing total effect,ipw,ipw_weight_v1,632,5,lightgbm_regressor,primary,,30,-0.1937778151822631,0.9956737825344937,0.9956737825344937,0.9956737825344937,2.4046732484683808e-05,2.20568289769208,estimated,
track1_per_cell,main,share_joint_Distrust_discomposed,timing_total,Timing total effect,ipw,ipw_weight_v1,632,5,lightgbm_regressor,primary,,30,-0.27573153585950316,0.9956737825344937,0.9956737825344937,0.9956737825344937,0.0015350077631536285,2.20568289769208,estimated,
track1_per_cell,main,share_joint_Injury_composed,timing_total,Timing total effect,rake,rake_weight_v1,632,5,lightgbm_regressor,primary,,30,-0.24387045081682257,0.9939920942962006,0.9939920942962006,0.9939920942962006,0.00019690445445474936,2.0510838783866157,estimated,
track1_per_cell,main,share_joint_Injury_discomposed,timing_total,Timing total effect,rake,rake_weight_v1,632,5,lightgbm_regressor,primary,,30,-0.36484540308428737,0.9939920942962006,0.9939920942962006,0.9939920942962006,2.9839421011867984e-07,2.0510838783866157,estimated,
track1_per_cell,main,share_joint_Rupture_composed,timing_total,Timing total effect,rake,rake_weight_v1,632,5,lightgbm_regressor,primary,,30,-0.3138155146862165,0.9939920942962006,0.9939920942962006,0.9939920942962006,0.00046793830327873653,2.0510838783866157,estimated,
track1_per_cell,main,share_joint_Rupture_discomposed,timing_total,Timing total effect,rake,rake_weight_v1,632,5,lightgbm_regressor,primary,,30,-0.1334730874740886,0.9939920942962006,0.9939920942962006,0.9939920942962006,0.005782153813094215,2.0510838783866157,estimated,
track1_per_cell,main,share_joint_Distrust_composed,timing_total,Timing total effect,rake,rake_weight_v1,632,5,lightgbm_regressor,primary,,30,-0.15070730677049649,0.9939920942962006,0.9939920942962006,0.9939920942962006,0.001549615625640488,2.0510838783866157,estimated,
track1_per_cell,main,share_joint_Distrust_discomposed,timing_total,Timing total effect,rake,rake_weight_v1,632,5,lightgbm_regressor,primary,,30,-0.3245044868187561,0.9939920942962006,0.9939920942962006,0.9939920942962006,0.005389958188201871,2.0510838783866157,estimated,
