track,outcome,spec_id,treatment,weight_status,null_mean_estimate,null_sd_estimate,null_q025,null_q975,estimate_reference,empirical_p_value
track1_per_cell,share_class_Distrust,joint_continuous,age_at_first_exposure,ipw,-0.0005402510245189438,0.00120099117225102,-0.00241604107599155,0.0012398307893752875,0.0056199413807332,0.0
track1_per_cell,share_class_Distrust,joint_continuous,age_at_first_exposure,rake,-0.00024199143852855643,0.0012900775712978256,-0.0028317824281544,0.0017299219442674,-0.0373535839224566,0.0
track1_per_cell,share_class_Distrust,joint_continuous,age_at_first_exposure,unweighted,-0.00037936600508216246,0.0010105555595488426,-0.0019921001904556752,0.0010266324321837376,-0.0092686807901695,0.0
track1_per_cell,share_class_Distrust,joint_continuous,severity_index_v2,ipw,0.009689255429769287,0.05653751791696229,-0.09852821879854534,0.10094590097985465,0.1658550398981308,0.0
track1_per_cell,share_class_Distrust,joint_continuous,severity_index_v2,rake,0.009383185880275162,0.06894122355841432,-0.11337931874015246,0.13209859128331597,0.1408165939664684,0.0625
track1_per_cell,share_class_Distrust,joint_continuous,severity_index_v2,unweighted,-0.002717682249942244,0.03911236135212984,-0.06691955809946809,0.0596942712868716,0.1183969948794277,0.0
track1_per_cell,share_class_Distrust,joint_continuous,total_days_incarcerated,ipw,-8.277639398833559e-07,1.9206236860204456e-05,-3.176628757338243e-05,2.7852060834868183e-05,7.84771403369781e-06,0.5625
track1_per_cell,share_class_Distrust,joint_continuous,total_days_incarcerated,rake,2.0752710477600765e-06,2.2796818916463432e-05,-2.6945310525348335e-05,3.6178930642271435e-05,1.4933495728240388e-05,0.6875
track1_per_cell,share_class_Distrust,joint_continuous,total_days_incarcerated,unweighted,-1.2608482936546407e-06,2.0250628952617812e-05,-2.9352190024442365e-05,3.1526355413297564e-05,9.46724937629709e-06,0.75
track1_per_cell,share_joint_Rupture_discomposed,joint_continuous,age_at_first_exposure,ipw,0.00011191494305804752,0.0027080877385748624,-0.00389341189604165,0.0046891726765698,0.0523939834662066,0.0
track1_per_cell,share_joint_Rupture_discomposed,joint_continuous,age_at_first_exposure,rake,8.145522167160624e-05,0.002466927740790306,-0.003687164250488175,0.0042110109185121,0.0302300777870654,0.0
track1_per_cell,share_joint_Rupture_discomposed,joint_continuous,age_at_first_exposure,unweighted,0.0004979100452574497,0.0016250316081656117,-0.001908186911658875,0.0039547967684606,0.0430081292892167,0.0
track1_per_cell,share_joint_Rupture_discomposed,joint_continuous,severity_index_v2,ipw,-0.012774725640794344,0.06440617005559628,-0.1262193501800169,0.0874363824406047,0.0419107897877182,0.4375
track1_per_cell,share_joint_Rupture_discomposed,joint_continuous,severity_index_v2,rake,-0.007514548138535105,0.07832077828759353,-0.13143451934848846,0.11261906784670465,0.0763756818474256,0.375
track1_per_cell,share_joint_Rupture_discomposed,joint_continuous,severity_index_v2,unweighted,-0.025154399388503407,0.05839929656165708,-0.10875808124648366,0.0844298377427636,-0.0070785900976072,0.9375
track1_per_cell,share_joint_Rupture_discomposed,joint_continuous,total_days_incarcerated,ipw,1.8406458308424175e-06,2.1419973621021624e-05,-2.3401785670005984e-05,4.784437869645973e-05,-2.394460016101076e-06,0.9375
track1_per_cell,share_joint_Rupture_discomposed,joint_continuous,total_days_incarcerated,rake,3.988449399296153e-06,2.316521010826098e-05,-2.4467941941920907e-05,5.068185071890163e-05,-8.290781804134906e-06,0.5
track1_per_cell,share_joint_Rupture_discomposed,joint_continuous,total_days_incarcerated,unweighted,2.7019612074653312e-06,1.6659590521850705e-05,-2.045487199424788e-05,3.781681265244504e-05,8.285812669071138e-06,0.3125
track2,authority_stance,joint_continuous,age_at_first_exposure,ipw,-0.00020997314950862249,0.0002215940379711003,-0.0005330080467372875,0.0001315677318511625,0.0035636706557085,0.0
track2,authority_stance,joint_continuous,age_at_first_exposure,rake,-0.0001383023240166818,0.0002839460492533906,-0.00043834645331485,0.0004332635375831375,-0.0011101584151008,0.0
track2,authority_stance,joint_continuous,age_at_first_exposure,unweighted,-4.066581257223575e-05,0.00022942932379488114,-0.00033686682000982497,0.00035077524530374997,0.0063661278803358,0.0
track2,authority_stance,joint_continuous,severity_index_v2,ipw,0.0012316873402204915,0.014709217518840474,-0.022130235210921716,0.023988943223934637,0.0409080575226832,0.0
track2,authority_stance,joint_continuous,severity_index_v2,rake,0.001647326944700712,0.017787790957534404,-0.028453034709984087,0.027721952664202076,0.0381464220914733,0.0
track2,authority_stance,joint_continuous,severity_index_v2,unweighted,-0.004345085751705104,0.01226683985442128,-0.0273344307305135,0.011514225174480914,0.0214684323885979,0.125
track2,authority_stance,joint_continuous,total_days_incarcerated,ipw,2.5274135067376315e-07,4.123477044949902e-06,-4.85874478819328e-06,6.375385241963172e-06,8.26013450403897e-06,0.0
track2,authority_stance,joint_continuous,total_days_incarcerated,rake,1.5393793166234632e-06,4.513982129431195e-06,-4.725547345796681e-06,8.581000754929867e-06,9.132077143229242e-06,0.0
track2,authority_stance,joint_continuous,total_days_incarcerated,unweighted,1.2971509103887981e-06,5.336399263198241e-06,-7.31187117006006e-06,8.843584587536192e-06,6.520093367756771e-06,0.3125
track2,belonging_stance,joint_continuous,age_at_first_exposure,ipw,0.00013749926332733126,0.00028376053269538133,-0.000296287471340075,0.000506229690508125,0.017765020267067,0.0
track2,belonging_stance,joint_continuous,age_at_first_exposure,rake,0.00011441989001961251,0.0005116778047077842,-0.0006853975769461,0.0009840719273218,0.0176289479380256,0.0
track2,belonging_stance,joint_continuous,age_at_first_exposure,unweighted,0.0002427484037464121,0.00027568204372355025,-0.0002279240994275007,0.0006121890436774,0.0096986105226265,0.0
track2,belonging_stance,joint_continuous,severity_index_v2,ipw,0.0017882804701414628,0.02716025990907194,-0.046775887310080526,0.0434853311669902,-0.0001256528011776,1.0
track2,belonging_stance,joint_continuous,severity_index_v2,rake,0.0002120811549151747,0.027899284797500718,-0.04425637431267264,0.04134871243407266,0.0315280919248631,0.375
track2,belonging_stance,joint_continuous,severity_index_v2,unweighted,-0.008133895444877026,0.019104562870445888,-0.034386041154442167,0.029097283700849637,0.0198302118884475,0.25
track2,belonging_stance,joint_continuous,total_days_incarcerated,ipw,6.186655181624175e-07,6.18766095870385e-06,-1.0095276880509459e-05,9.968339561990769e-06,4.932547311482061e-06,0.375
track2,belonging_stance,joint_continuous,total_days_incarcerated,rake,2.4960883420615344e-06,7.881825731559724e-06,-1.3051864730461621e-05,1.331911879270587e-05,1.8015140322706813e-07,1.0
track2,belonging_stance,joint_continuous,total_days_incarcerated,unweighted,2.0623258480869885e-06,7.512770788844142e-06,-9.67118573696565e-06,1.3250753347793182e-05,4.8641071739827965e-06,0.75
track2,how_multimodal_score_mean,joint_continuous,age_at_first_exposure,ipw,0.0001167368168933111,0.0012555653847786598,-0.0018294474898562251,0.0017229806618925,0.0177142955776383,0.0
track2,how_multimodal_score_mean,joint_continuous,age_at_first_exposure,rake,0.00011908984106759374,0.0011847270253315064,-0.0017832769467710874,0.0017753956510959,0.0028213885704086,0.0
track2,how_multimodal_score_mean,joint_continuous,age_at_first_exposure,unweighted,0.00019875522054399198,0.0006906339482143612,-0.0010129235167044626,0.0013069270884722,0.0085641293064146,0.0
track2,how_multimodal_score_mean,joint_continuous,severity_index_v2,ipw,0.0009006690848153056,0.0356453402333249,-0.047265585599252036,0.0486370216877695,0.0429441392186785,0.3125
track2,how_multimodal_score_mean,joint_continuous,severity_index_v2,rake,0.0014598498228995623,0.04862937763641586,-0.059822597592204485,0.0659603032623692,0.0554466491286924,0.375
track2,how_multimodal_score_mean,joint_continuous,severity_index_v2,unweighted,-0.013850705178927912,0.029907500888867473,-0.051333584089106835,0.0403185149042216,0.0226536840429656,0.625
track2,how_multimodal_score_mean,joint_continuous,total_days_incarcerated,ipw,-4.149104935928735e-06,1.2912652545196115e-05,-2.014131570766744e-05,1.856745392965915e-05,-5.568153217406437e-06,0.875
track2,how_multimodal_score_mean,joint_continuous,total_days_incarcerated,rake,-3.2873402760280227e-06,1.3975564653235355e-05,-1.600591059785377e-05,2.4187673856996703e-05,-1.189004417768675e-05,0.5625
track2,how_multimodal_score_mean,joint_continuous,total_days_incarcerated,unweighted,-3.6440433650216246e-06,1.1605956228583054e-05,-1.572805079178778e-05,1.71548610532292e-05,-4.513825575621248e-06,0.875
