track,outcome,spec_id,spec_label,hypothesis_family,treatment_columns,n_treatments,weight_status,weight_column,sample_n,engine_target,x_block_id,x_exclude_columns,status,notes,folds,nuisance_learner,x_feature_count,engine_impl,coefficient_rows,outcome_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,error_message
track1_per_cell,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,unweighted,,31,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,29,crossfit_plr_residual_ols_hc3_v1,3,-0.2614141619883388,-0.04221395966618424,0.42322435270843994,4697.656804443317,
track1_per_cell,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,unweighted,,31,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,29,crossfit_plr_residual_ols_hc3_v1,3,-0.23561168222651485,-0.04221395966618424,0.03567880558570902,4697.656804443317,
track1_per_cell,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,unweighted,,31,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,29,crossfit_plr_residual_ols_hc3_v1,3,-0.2114332137944679,-0.04221395966618424,0.10866662248497272,4697.656804443317,
track1_per_cell,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,unweighted,,31,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,29,crossfit_plr_residual_ols_hc3_v1,3,-0.2099088985058486,-0.04221395966618424,0.1048482744215542,4697.656804443317,
track1_per_cell,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,ipw,ipw_weight_v1,31,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,29,crossfit_plr_residual_ols_hc3_v1,3,0.060008500674767706,-0.06422049613596419,0.23336144082166455,5371.880332767508,
track1_per_cell,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,ipw,ipw_weight_v1,31,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,29,crossfit_plr_residual_ols_hc3_v1,3,-0.11083867450509044,-0.06422049613596419,0.11764173143210632,5371.880332767508,
track1_per_cell,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,ipw,ipw_weight_v1,31,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,29,crossfit_plr_residual_ols_hc3_v1,3,-0.1517631910799606,-0.06422049613596419,0.20395575641722452,5371.880332767508,
track1_per_cell,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,ipw,ipw_weight_v1,31,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,29,crossfit_plr_residual_ols_hc3_v1,3,-0.14821598934844005,-0.06422049613596419,0.18802461861639774,5371.880332767508,
track1_per_cell,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,rake,rake_weight_v1,31,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,29,crossfit_plr_residual_ols_hc3_v1,3,-0.18250005300523786,-0.17031890087921767,0.24793867649273948,4992.01411532568,
track1_per_cell,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,rake,rake_weight_v1,31,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,29,crossfit_plr_residual_ols_hc3_v1,3,-0.06769740824220838,-0.17031890087921767,0.02983720695530645,4992.01411532568,
track1_per_cell,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,rake,rake_weight_v1,31,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,29,crossfit_plr_residual_ols_hc3_v1,3,-0.23279608036208188,-0.17031890087921767,0.06404242088091872,4992.01411532568,
track1_per_cell,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,rake,rake_weight_v1,31,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,29,crossfit_plr_residual_ols_hc3_v1,3,-0.13881630488136887,-0.17031890087921767,0.12905654081654827,4992.01411532568,
