check_id,check_variant,weight_status,outcome,treatment,estimate,std_error,p_value,estimate_delta_vs_reference,same_sign_as_reference,aggregation_variant,t_statistic,partial_r2,rv_q,rv_qa,empirical_p_value,excluded_facility,sample_variant
R1,baseline_default,ipw,authority_stance,age_at_first_exposure,0.0035636706557085,0.0092590825470131,0.7003235263750347,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,ipw,authority_stance,age_at_first_exposure,-0.0293028825706791,0.0135510887952644,0.030587311206607,-0.0328665532263876,0.0,,,,,,,,
R1,random_forest_regressor,ipw,authority_stance,age_at_first_exposure,-0.0033055032966121,0.0058273259327561,0.5705498605051287,-0.0068691739523206,0.0,,,,,,,,
R1,baseline_default,ipw,authority_stance,severity_index_v2,0.0409080575226832,0.0127573935741981,0.0013430632067406,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,ipw,authority_stance,severity_index_v2,0.0547183601313946,0.0112705319653894,1.2039065479059002e-06,0.0138103026087113,1.0,,,,,,,,
R1,random_forest_regressor,ipw,authority_stance,severity_index_v2,0.0499437329242568,0.012669701007906,8.08110530305202e-05,0.0090356754015736,1.0,,,,,,,,
R1,baseline_default,ipw,authority_stance,total_days_incarcerated,8.26013450403897e-06,5.126554732201518e-06,0.107126383172515,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,ipw,authority_stance,total_days_incarcerated,5.640213336454597e-06,5.4253232599670975e-06,0.2985217268572205,-2.6199211675843726e-06,1.0,,,,,,,,
R1,random_forest_regressor,ipw,authority_stance,total_days_incarcerated,3.941125827690463e-06,4.642424943055862e-06,0.3959164061591332,-4.319008676348507e-06,1.0,,,,,,,,
R1,baseline_default,ipw,belonging_stance,age_at_first_exposure,0.017765020267067,0.0092660419805563,0.0552102724768018,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,ipw,belonging_stance,age_at_first_exposure,-0.0155593754084704,0.0179196094641428,0.3852368868956918,-0.0333243956755374,0.0,,,,,,,,
R1,random_forest_regressor,ipw,belonging_stance,age_at_first_exposure,-0.0012469564394139,0.0077984758116325,0.8729618529121483,-0.0190119767064809,0.0,,,,,,,,
R1,baseline_default,ipw,belonging_stance,severity_index_v2,-0.0001256528011776,0.0182716696273877,0.994513055352366,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,ipw,belonging_stance,severity_index_v2,0.0535786748724324,0.0213022153101875,0.0118975285081297,0.05370432767361,0.0,,,,,,,,
R1,random_forest_regressor,ipw,belonging_stance,severity_index_v2,0.0175036318745669,0.0188022073949576,0.3518872177023662,0.0176292846757445,0.0,,,,,,,,
R1,baseline_default,ipw,belonging_stance,total_days_incarcerated,4.932547311482061e-06,5.912857673697383e-06,0.4041643424754189,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,ipw,belonging_stance,total_days_incarcerated,8.485954212129904e-06,7.357950519907538e-06,0.2487856040520415,3.5534069006478428e-06,1.0,,,,,,,,
R1,random_forest_regressor,ipw,belonging_stance,total_days_incarcerated,5.673657712120851e-06,5.869833308595539e-06,0.3337545280555279,7.411104006387899e-07,1.0,,,,,,,,
R1,baseline_default,ipw,how_multimodal_score_mean,age_at_first_exposure,0.0177142955776383,0.0174096876999245,0.3089173161790555,0.0,1.0,,,,,,,,
