narrator_id,interview_participation,birth_year,adolescent_cohort_1924_1935,generation,gender,prewar_region_3cat,interview_year
361,1,1927,1,Nisei,female,west_coast,2008
291,1,1921,0,Nisei,male,west_coast,2008
1018,1,1951,0,Sansei,male,inland_or_other,
293,1,1925,1,Nisei,female,west_coast,2008
597,1,1928,1,Nisei,female,west_coast,2011
1014,1,1950,0,Sansei,male,west_coast,2022
321,1,1925,1,Nisei,female,west_coast,2008
1034,1,1945,0,,,unknown,
312,1,1923,0,Nisei,male,west_coast,2008
178,1,1929,1,Nisei,male,west_coast,2004
212,1,1917,0,Nisei,male,inland_or_other,2006
755,1,1924,1,Nisei,male,west_coast,2013
355,1,1929,1,Nisei,female,west_coast,2008
470,1,1920,0,Nisei,male,west_coast,2000
471,1,1923,0,Nisei,male,west_coast,2000
1,1,1925,1,Nisei,male,west_coast,2003
2,1,1920,0,Nisei,male,west_coast,1997
280,1,1918,0,,female,inland_or_other,2007
791,1,1933,1,Nisei,female,west_coast,2014
171,1,1937,0,,male,west_coast,2004
586,1,1924,1,,female,west_coast,2011
844,1,1918,0,Nisei,male,hawaii,1983
518,1,1937,0,Nisei,female,west_coast,2010
651,1,1931,1,Nisei,male,west_coast,2016
887,1,1919,0,Nisei,female,west_coast,2017
3,1,1923,0,Nisei,male,unknown,1998
1079,1,1953,0,Sansei,male,inland_or_other,2023
517,1,1930,1,Issei,female,inland_or_other,2010
640,1,1922,0,Nisei,female,west_coast,2012
699,1,1918,0,Nisei,male,west_coast,2004
184,1,1909,0,Nisei,female,west_coast,2004
1031,1,,0,,,unknown,2022
231,1,1934,1,Nisei,male,west_coast,2009
1036,1,1950,0,Sansei,female,west_coast,2022
112,1,1955,0,Sansei,female,west_coast,1983
123,1,1920,0,Nisei,male,inland_or_other,2000
7,1,1906,0,Nisei,female,west_coast,1998
974,1,1939,0,Sansei,male,west_coast,2021
901,1,1932,1,Nisei,female,west_coast,2018
566,1,1930,1,Nisei,female,west_coast,2011
281,1,1979,0,,female,west_coast,2007
799,1,,0,,male,unknown,2010
138,1,1904,0,,male,inland_or_other,1992
1030,1,,0,,,unknown,2021
296,1,1921,0,Nisei,female,west_coast,2008
683,1,1920,0,Nisei,female,west_coast,2003
734,1,1937,0,,male,west_coast,2013
936,1,,0,,,inland_or_other,2019
202,1,1917,0,,male,west_coast,2005
721,1,1923,0,Nisei,female,unknown,1983
319,1,1923,0,,male,unknown,2008
175,1,1938,0,,female,inland_or_other,2004
935,1,,0,,,inland_or_other,2019
584,1,1929,1,Nisei,female,west_coast,2011
941,1,1921,0,Nisei,male,west_coast,2017
1025,1,,0,,,unknown,2020
316,1,1933,1,Sansei,female,west_coast,2008
930,1,1944,0,Nisei,female,inland_or_other,2019
145,1,1918,0,,male,west_coast,2003
224,1,,0,,female,unknown,2003
937,1,,0,,,inland_or_other,2019
555,1,1930,1,Kibei,male,west_coast,2011
556,1,1934,1,Nisei,female,west_coast,2012
166,1,1927,1,,male,inland_or_other,1983
795,1,1922,0,,female,west_coast,2014
1024,1,,0,,,unknown,2020
450,1,1924,1,,male,west_coast,2009
939,1,,0,,,inland_or_other,2019
862,1,1927,1,Nisei,female,west_coast,2016
188,1,1938,0,Sansei,male,west_coast,2004
800,1,1931,1,,female,west_coast,2010
954,1,1991,0,Yonsei,female,inland_or_other,2019
801,1,1933,1,Nisei,male,west_coast,2010
959,1,1941,0,Nisei Sansei,female,west_coast,2019
688,1,1915,0,Nisei,female,west_coast,2003
680,1,1925,1,,male,west_coast,2003
322,1,1934,1,Nisei,male,inland_or_other,2012
220,1,1919,0,Nisei,female,west_coast,2003
267,1,1934,1,Nisei,female,unknown,2007
8,1,1923,0,Nisei,female,west_coast,2002
153,1,1919,0,Nisei,male,west_coast,1993
142,1,1916,0,Nisei,male,west_coast,1994
679,1,1906,0,Issei,female,west_coast,2003
534,1,1933,1,Nisei,male,west_coast,2010
1062,1,1917,0,,male,west_coast,1994
445,1,1930,1,,female,west_coast,2009
618,1,1932,1,Nisei,female,west_coast,2011
865,1,1937,0,,male,inland_or_other,2016
866,1,1931,1,Shin-Issei,female,inland_or_other,2016
115,1,1919,0,,male,inland_or_other,2000
306,1,1930,1,Nisei,male,west_coast,2008
9,1,1915,0,Kibei,male,west_coast,1998
530,1,1927,1,Nisei,female,west_coast,2010
685,1,1923,0,Nisei,male,west_coast,2003
10,1,1930,1,Nisei,male,west_coast,1997
787,1,1930,1,Nisei,female,west_coast,2014
805,1,,0,Nisei,female,west_coast,2010
352,1,1930,1,Nisei,female,west_coast,2008
323,1,1920,0,Nisei,male,west_coast,2008
740,1,1925,1,Nisei,male,west_coast,2012
11,1,1925,1,Nisei,male,west_coast,1997
461,1,1924,1,Kibei,male,west_coast,2000
232,1,1913,0,Nisei,male,west_coast,2009
507,1,1953,0,Yonsei,male,west_coast,2010
133,1,1911,0,Nisei,female,west_coast,2002
751,1,1923,0,Nisei,female,west_coast,2013
738,1,1926,1,Nisei,male,west_coast,2011
968,1,1927,1,,,hawaii,2013
999,1,1942,0,Sansei,female,inland_or_other,2022
648,1,1928,1,Nisei,female,west_coast,2012
830,1,,0,Nisei,male,unknown,1985
1021,1,1950,0,Sansei,male,west_coast,2023
1029,1,,0,,,unknown,2021
934,1,,0,,,inland_or_other,2019
671,1,1914,0,Nisei,female,west_coast,2003
571,1,1938,0,Nisei,female,west_coast,2011
623,1,1940,0,Sansei,female,west_coast,2011
952,1,,0,Kibei Nisei,,unknown,2017
953,1,1925,1,Kibei Nisei,male,west_coast,2017
829,1,1925,1,Nisei,female,west_coast,2015
831,1,1941,0,Kibei,male,west_coast,1985
12,1,1933,1,Nisei,female,west_coast,1998
735,1,1943,0,,female,west_coast,2013
678,1,1921,0,Nisei,male,west_coast,2003
669,1,1922,0,Nisei,female,west_coast,2003
487,1,1928,1,Nisei,female,hawaii,2010
495,1,1927,1,Nisei,male,west_coast,2010
298,1,1921,0,Nisei,female,west_coast,2008
454,1,1922,0,Nisei,male,west_coast,2010
193,1,1924,1,Nisei,male,west_coast,2004
964,1,1948,0,,,west_coast,2011
165,1,1938,0,,male,inland_or_other,2010
176,1,1923,0,,male,west_coast,2004
672,1,1925,1,Nisei,male,west_coast,2003
181,1,1921,0,Nisei,female,west_coast,2004
690,1,1922,0,Nisei,female,west_coast,2003
522,1,1923,0,Kibei,male,west_coast,2010
545,1,1919,0,,female,unknown,2011
766,1,1925,1,Nisei,female,west_coast,2014
13,1,1933,1,Nisei,male,west_coast,1998
14,1,1921,0,Nisei,female,west_coast,1998
628,1,1936,0,Nisei,female,west_coast,2012
334,1,1935,1,Nisei,male,west_coast,2008
264,1,1924,1,Nisei,female,west_coast,2007
710,1,1916,0,Nisei,female,west_coast,2004
213,1,1922,0,Nisei,male,inland_or_other,2005
1020,1,1950,0,Sansei,female,inland_or_other,2023
652,1,1930,1,Nisei,female,west_coast,2012
625,1,1928,1,Nisei,male,west_coast,2011
796,1,2022,0,Nisei,female,west_coast,2014
393,1,1931,1,Sansei,female,hawaii,2009
650,1,1918,0,Nisei,male,west_coast,2012
1043,1,,0,,,unknown,2020
1023,1,1926,1,,,unknown,
15,1,1956,0,Sansei,female,inland_or_other,1997
435,1,1925,1,Nisei,female,west_coast,2009
966,1,1921,0,Nisei,,west_coast,2012
915,1,1939,0,Sansei,male,west_coast,2019
981,1,1925,1,Nisei,female,west_coast,2022
16,1,1911,0,Nisei,female,west_coast,1998
17,1,1919,0,Nisei,male,west_coast,1997
174,1,1923,0,Nisei,female,west_coast,2004
469,1,1922,0,,male,unknown,2000
18,1,1924,1,Nisei,female,west_coast,2009
583,1,1933,1,Nisei,female,west_coast,2011
582,1,1928,1,Nisei,male,west_coast,2011
191,1,1916,0,Nisei,female,west_coast,2004
1013,1,1941,0,,female,west_coast,2022
904,1,1939,0,Nisei,female,west_coast,2019
767,1,1924,1,Nisei,male,west_coast,2014
529,1,1930,1,Nisei,female,west_coast,2010
523,1,1925,1,Nisei,female,west_coast,2010
398,1,1923,0,Nisei,male,west_coast,2009
19,1,1918,0,Nisei,male,west_coast,1999
208,1,1919,0,Kibei,male,west_coast,2006
982,1,1938,0,Nisei-Sansei,female,west_coast,2022
140,1,1926,1,Nisei,male,west_coast,1983
544,1,1950,0,Sansei,female,west_coast,2011
543,1,1951,0,Sansei,male,west_coast,2011
668,1,1927,1,Nisei,female,inland_or_other,2012
311,1,1939,0,Nisei/Sansei,female,west_coast,2008
547,1,1929,1,,male,hawaii,2011
20,1,1908,0,Nisei,male,west_coast,1997
